Query,RetrievedDocuments
381,LA082690-0003 FBIS4-57406 LA091289-0027 FT923-437 FT922-461 LA121390-0014 FT931-8050 LA011590-0099 FBIS3-22049 FT932-13552 FBIS4-21484 FR941003-2-00046 LA120889-0037 FBIS4-51121 FT942-16930 FR940106-2-00071 FBIS3-60406 FT943-8860 LA111090-0106 FBIS4-2246 FR940428-1-00007 FBIS4-25397 FR941202-0-00036 FR940926-0-00022 LA120390-0005 FR940128-0-00034 FR940805-2-00063 LA022489-0113 LA051489-0014 FBIS4-34843 FBIS4-33761 LA010490-0128 FBIS3-32408 FT943-8070 LA070889-0018 FT943-12979 LA111290-0137 FT931-4998 FBIS4-47444 LA050189-0014 FT931-8819 FT943-45 LA050390-0212 LA100890-0125 FBIS4-49234 FBIS4-67488 FBIS3-40633 FBIS3-11530 LA030689-0082 FBIS3-26405 LA101089-0060 FBIS4-10584 FT941-4655 FBIS3-22629 FR941003-2-00047 FBIS3-22267 LA071590-0076 LA073090-0058 FT944-17053 FBIS3-20776 LA122790-0224 FT922-10562 LA120890-0020 FT933-9830 LA091189-0069 LA111289-0076 FR940208-1-00051 FT932-13547 FT924-2213 FBIS4-34373 LA041089-0031 FBIS3-26272 FBIS3-60487 FR940303-2-00168 FT941-2054 FBIS4-56378 FR940627-2-00075 FT932-7948 FBIS3-60540 FT934-17362 FBIS3-22509 LA120390-0085 LA020690-0047 FT944-9805 FT941-3993 LA071189-0065 FT934-11102 FT921-12017 FT934-15056 LA042390-0089 FR940325-0-00105 FBIS4-38133 LA122590-0076 LA030689-0081 LA101689-0053 FBIS3-50603 FBIS3-60065 LA050290-0172 LA060390-0065 LA102990-0041
382,FBIS4-44635 FBIS4-44872 FR941219-1-00027 FBIS4-44701 FT942-15408 FBIS4-44698 FR941219-1-00026 FBIS3-59723 FBIS4-66472 FBIS4-20567 FBIS4-66430 FT923-14293 FBIS4-20649 LA101289-0199 FBIS4-66452 FBIS4-44852 FR940303-2-00168 FBIS3-41656 FBIS4-66447 FT942-15407 FBIS3-20985 FR940803-0-00106 LA062389-0066 FBIS3-60383 FBIS3-59553 FBIS3-60662 FT931-15783 FR940627-0-00135 FBIS4-67400 LA053090-0104 FT931-450 FBIS4-66490 FBIS4-44731 FT943-6184 FBIS4-29696 FBIS3-43108 FR940830-2-00026 FBIS3-3924 LA100789-0153 FR940627-0-00118 LA060590-0055 FR940224-1-00041 LA050990-0048 FBIS4-22820 FBIS3-59651 FBIS4-44893 LA031290-0072 FBIS4-44655 FR940830-2-00025 FR940406-2-00115 FBIS4-20505 FBIS3-21146 LA021390-0042 FBIS4-44700 LA062489-0113 FR940505-1-00180 LA020190-0022 FBIS3-60384 FBIS3-59552 FBIS4-67596 LA022189-0045 FBIS3-59706 LA030190-0185 FBIS4-53915 FBIS4-44726 FBIS3-59699 FT934-3768 FR940412-1-00043 FR940831-2-00162 FBIS3-59725 FT924-7243 FT933-3423 LA082889-0040 FR940425-0-00039 FBIS4-51407 FT942-9950 LA110889-0121 LA061489-0013 FT941-14186 FT922-12935 LA113090-0099 LA072389-0022 FBIS4-44896 FBIS4-20560 LA013090-0110 FBIS3-42854 FR940922-1-00053 LA081389-0169 LA031290-0101 FT941-4900 FT934-2684 FT934-8130 LA050489-0037 LA062290-0006 FBIS3-42466 LA061889-0037 FBIS3-29762 FBIS4-66378 FBIS4-3872 FBIS4-66424
383,LA070390-0063 LA122590-0020 LA062489-0059 LA080590-0053 LA101690-0121 LA103089-0035 LA111689-0162 LA092689-0015 LA010590-0095 LA090389-0060 LA111290-0137 FT942-14531 FT933-4868 LA082290-0101 LA093089-0065 LA022289-0107 LA050989-0119 LA061089-0052 LA051490-0069 LA112089-0015 LA100889-0040 LA121690-0207 LA032290-0148 FT942-16465 LA072889-0061 FR941021-1-00036 FT932-13133 LA080590-0027 LA101790-0010 FT922-715 LA122889-0116 FR940906-2-00146 LA100889-0135 LA082090-0069 LA121489-0078 LA083189-0200 LA031289-0153 LA010589-0065 FBIS3-50247 LA041790-0095 LA100590-0070 LA050789-0077 LA121190-0118 LA020590-0126 FT923-11708 LA071289-0145 LA092489-0017 LA050289-0103 FT942-14582 LA022389-0040 LA091489-0178 LA111590-0041 FT923-14112 LA030690-0118 LA042589-0007 LA100589-0214 LA110789-0152 LA070789-0006 LA071290-0211 FR940112-2-00079 FT941-7815 LA061990-0067 LA013090-0111 LA060989-0161 LA032590-0033 LA070689-0080 LA061189-0152 FR941202-0-00182 LA042390-0120 LA062690-0105 LA102289-0014 LA032690-0013 LA090789-0051 LA121990-0098 FR940222-0-00038 FT911-4557 LA072990-0085 LA061790-0142 LA101589-0050 LA030290-0104 LA092789-0015 LA020189-0049 LA111390-0051 FT923-453 FT924-1386 FR940512-1-00091 LA122290-0066 LA090189-0161 LA061690-0143 LA112990-0114 FBIS4-56522 FBIS4-67047 LA032489-0062 LA010489-0024 FT923-9638 LA070989-0179 LA101790-0084 LA112989-0107 FR940516-2-00063 FT933-3956
384,FBIS4-28821 LA070290-0143 FBIS3-21244 LA102289-0040 LA071689-0207 LA072189-0108 FT933-6323 LA021290-0037 LA020589-0049 LA083090-0083 LA092990-0085 LA040289-0050 FBIS4-44844 FBIS3-59693 LA061789-0038 FBIS3-42531 FBIS3-21021 FBIS3-40521 LA122689-0047 FT943-14510 LA051290-0077 FBIS4-44900 LA042089-0083 FBIS3-23691 FBIS4-44901 LA071090-0133 FBIS3-42376 FBIS3-42544 FBIS4-44690 FBIS3-29781 FT923-10876 FBIS4-29162 FT943-16099 FBIS3-42394 FBIS3-21022 LA072190-0065 FBIS3-40346 FBIS3-42535 FBIS3-21231 LA051289-0137 LA091189-0054 LA122189-0171 FBIS3-42541 LA092489-0134 FBIS3-56960 FBIS4-22151 FBIS3-21237 FBIS3-21014 FBIS3-56306 FBIS3-23696 LA121190-0089 FBIS3-39094 LA092490-0017 FT934-10103 FBIS3-40520 FBIS3-59901 FBIS3-59774 FBIS3-20913 LA011390-0060 LA092990-0100 FBIS3-36258 FBIS4-44785 LA053090-0104 FBIS3-21239 FT943-15250 FT933-678 FT923-3304 FR940607-2-00070 FBIS3-40550 FBIS3-20888 LA052890-0021 FBIS4-62583 LA011390-0065 FBIS3-40351 LA122489-0107 LA122889-0017 LA052389-0099 FT923-8040 LA072289-0042 LA032090-0151 FBIS3-40357 FBIS3-21242 FT923-8173 FBIS4-20925 FBIS3-59677 LA091390-0118 LA051990-0069 LA100889-0083 FBIS3-59918 FT922-13455 FT924-10484 FBIS4-20547 LA021489-0150 LA102389-0107 FBIS4-66418 FT932-13753 FBIS3-40552 FBIS4-11295 FBIS4-67423 LA052589-0190
385,FT943-11934 LA042990-0226 FBIS4-44854 FBIS4-67596 FT924-2358 FBIS4-44698 FT933-2369 FT944-4751 FBIS4-44635 FT941-17640 FBIS4-44893 FT941-5576 FT932-11810 LA051890-0016 FBIS4-45674 FBIS4-6674 FBIS4-44853 FBIS3-35836 FT944-18230 LA031290-0101 FR941220-2-00034 FT943-11627 FT941-7483 FBIS4-44701 LA111690-0053 FT941-7919 LA101289-0199 FR940118-1-00048 FT933-11509 FT931-12869 FBIS3-43061 LA062489-0113 LA050489-0037 LA061889-0037 LA110490-0015 FT934-5009 FBIS4-20560 FBIS3-40471 LA092889-0138 LA020190-0022 LA091690-0143 FBIS4-47404 FR940406-0-00180 FT931-3203 FT923-14293 FR940922-1-00053 FBIS3-27604 LA071789-0107 FT931-3043 LA030190-0185 FT942-15407 FT934-3790 FT911-3223 FR940118-1-00052 FT944-3280 LA061489-0013 LA091489-0096 LA051289-0174 LA090590-0086 LA020390-0126 FT944-8187 FR940303-2-00168 FBIS4-44700 LA060590-0055 LA092590-0140 FBIS4-68611 FR940505-1-00441 FBIS3-59761 FR941007-2-00119 FBIS3-40371 FR940304-0-00030 FT921-12568 LA121489-0092 FR940830-2-00026 FT933-9208 FT931-10650 FT934-17260 FBIS3-24648 FT921-4721 LA121589-0079 FR940425-0-00039 FR940303-2-00183 FR940303-2-00173 FR940303-2-00175 FBIS4-20567 FT942-9950 FT922-1008 FBIS3-42463 FT923-3900 FT922-2265 FR940627-0-00190 FBIS3-11568 LA060289-0162 LA072390-0100 FBIS3-44779 LA121089-0233 LA120590-0129 FR940303-2-00185 LA032889-0141 FT944-8454
386,LA020290-0097 LA102790-0129 LA032390-0166 LA082490-0058 LA020989-0132 FR941219-2-00053 FR940725-0-00064 FR940610-2-00228 LA101290-0093 FR941121-2-00134 LA051689-0021 LA010789-0133 FR940810-1-00029 LA051190-0078 FR940419-2-00044 LA031190-0045 FR940725-0-00048 LA082689-0045 FR940725-0-00044 LA071689-0171 FBIS4-66261 FBIS3-3910 FR940610-2-00221 LA073089-0160 LA012589-0035 LA112389-0150 LA042990-0046 FR940323-1-00045 FR940503-2-00156 FT932-14603 LA042090-0146 FT921-16055 LA032590-0097 LA032689-0040 LA092189-0212 FR940610-2-00232 LA051889-0183 LA120890-0014 FBIS3-25790 FT921-4473 LA032889-0083 LA072790-0118 LA021389-0004 FT931-14358 LA061289-0041 FBIS4-24438 FBIS4-68676 FT942-208 LA111489-0024 FR940805-2-00063 FT911-788 FT941-10306 FT932-14842 FR940819-2-00054 FR940323-1-00043 FR940830-1-00100 LA070890-0108 LA121790-0132 FBIS3-20548 FT931-4135 FR941202-0-00177 FR940725-0-00058 LA120690-0158 LA121390-0053 FT944-16265 LA053190-0222 FT944-16270 LA112689-0048 FBIS3-46231 LA052690-0131 LA060389-0128 LA112790-0004 FR941003-2-00088 LA101690-0121 LA031689-0164 FT941-12394 LA110489-0051 LA031990-0019 LA072089-0183 LA121089-0085 LA011490-0071 LA030989-0012 LA100290-0010 FR941026-1-00012 LA032489-0164 FT923-3856 FT921-13152 FR940208-0-00003 LA041290-0089 LA120790-0108 FT942-9445 LA080290-0225 LA052089-0043 FBIS4-66773 LA060989-0119 LA032590-0147 FR940503-0-00074 FBIS4-47430 FBIS4-28152 FT923-1206
387,FBIS4-5283 FBIS3-40271 FBIS3-23614 FBIS4-22439 FBIS3-21073 FBIS4-20246 FBIS4-45922 FBIS4-53441 FBIS3-61561 FBIS3-61560 FBIS3-41608 FBIS4-15413 FBIS4-21428 FBIS4-64603 FBIS4-67519 FR940525-2-00011 FBIS3-48302 FR940406-2-00181 FBIS4-21469 FBIS3-17250 FBIS4-17302 FBIS4-21460 FBIS3-1564 FBIS4-67374 LA111990-0049 FBIS3-21587 FR940406-2-00179 FR940128-2-00066 FR940317-2-00024 FBIS4-38660 FBIS4-45685 FBIS4-45686 FBIS3-60389 FBIS4-64772 FBIS3-22107 FBIS4-67442 FBIS4-17581 FBIS3-61559 FBIS3-22192 FBIS4-67522 LA032390-0007 FR941103-2-00018 FBIS4-21536 FBIS4-21350 FBIS3-59635 FBIS4-64332 FBIS3-6833 FBIS4-67454 FBIS3-41662 FBIS3-43001 FBIS3-43039 FBIS4-21466 FBIS4-14906 FBIS4-67371 LA031989-0179 FT943-6546 FBIS3-22753 FBIS4-50860 FBIS3-22780 FBIS3-22216 FBIS4-16996 FR941005-2-00040 FBIS4-44727 FBIS3-41464 LA111890-0124 FBIS4-41769 FBIS4-61301 FR940406-2-00182 FBIS3-5525 FR941103-2-00019 FBIS4-42714 FBIS4-67377 FBIS4-16665 FBIS4-20666 FBIS4-16797 FBIS4-63989 FBIS4-67375 FBIS4-32622 FR940504-2-00019 LA042990-0124 LA101889-0077 LA100689-0074 FT923-3683 FBIS4-67889 FBIS4-45120 LA110789-0007 FBIS4-5049 FBIS4-68363 FBIS4-21497 FT943-7475 FBIS4-21463 FT924-13435 FR940406-2-00185 LA122890-0132 FBIS3-40483 FBIS3-40486 FBIS3-18623 FBIS3-28953 FBIS4-34370 FR941003-2-00142
388,FBIS4-45665 LA091789-0046 FT943-15995 LA021190-0042 FR941116-0-00175 FBIS3-25922 FBIS3-2756 FBIS4-45740 LA092389-0150 FT941-15271 FR940324-2-00098 FBIS4-20487 LA120190-0157 LA012490-0082 FR940404-2-00006 LA030490-0090 FR940523-0-00045 FBIS3-60353 FBIS4-45803 FBIS4-22502 FBIS3-60361 FR940525-1-00021 FT941-3464 FBIS4-42757 FBIS4-46425 FBIS4-45419 FBIS3-60307 FBIS3-61168 FBIS3-55925 FR941206-1-00097 FBIS4-45607 FBIS4-51140 FBIS4-46843 FBIS4-2879 FR940128-2-00102 FBIS4-13022 FT933-14235 FBIS3-47264 LA052590-0083 FR940119-0-00008 FBIS4-44486 FBIS3-59042 FBIS4-59723 FBIS4-26421 FR940128-2-00139 FR940513-2-00192 FR940907-2-00010 FBIS4-47389 FR940830-1-00069 FT942-12504 FR941216-1-00085 FBIS3-40521 FR941222-0-00090 FR941026-1-00019 FR941104-2-00009 LA072389-0087 LA052889-0189 LA012289-0087 FR941206-0-00152 FBIS4-66203 LA081490-0042 FBIS3-60258 FBIS4-30487 LA090989-0036 LA070190-0130 FBIS3-9906 FBIS4-25946 FR940523-0-00042 LA051390-0019 FBIS4-24483 FBIS3-22431 LA041790-0025 FT911-3434 LA052890-0005 FBIS4-44476 FBIS4-66727 FBIS3-59325 FBIS4-26430 LA040689-0175 FBIS3-60270 LA100589-0069 FT941-9169 FBIS3-45601 FBIS4-51121 FBIS3-61514 FBIS3-41653 LA020489-0058 FBIS4-67351 FR940318-2-00193 FT922-9059 FBIS3-57925 FBIS3-46248 FR940803-1-00069 FBIS4-49289 FBIS4-40930 FR941012-0-00103 FBIS4-56562 FBIS4-22720 FBIS4-26038 FBIS4-50706
389,FBIS3-41110 FBIS3-48526 FBIS3-21239 FT922-3845 FR940407-2-00136 FBIS4-1559 FT924-10031 FBIS4-40109 FT933-7146 FBIS3-60689 FBIS4-57796 FBIS3-47175 FBIS4-45687 FR940516-0-00060 FT933-14063 LA061690-0015 LA082390-0236 FBIS4-19562 FBIS3-42147 FBIS3-26112 FR940414-1-00043 FBIS4-67291 FBIS4-19393 FR940706-2-00076 FR940128-2-00102 FBIS3-22049 FR940831-2-00073 LA033090-0001 FR940627-2-00085 FT932-11768 FR940916-2-00059 FR941116-2-00055 FBIS3-60129 FR940627-2-00086 FBIS3-11519 FBIS3-41929 FR941227-2-00083 FBIS4-34232 FBIS3-24682 FBIS3-57829 LA072789-0088 FBIS3-20171 FR940516-0-00056 FBIS4-49380 FR941026-2-00014 FBIS3-36845 FBIS3-26025 FBIS4-68245 FT933-1362 FBIS3-60353 FBIS3-7295 FR940412-2-00003 FBIS3-48511 FT921-6932 FBIS3-24124 FT932-3391 FT934-14695 FR940803-2-00048 LA081690-0131 FBIS3-40479 FBIS4-68195 FR940414-1-00032 FBIS3-22186 FT931-5035 FBIS3-41239 FBIS3-41077 FT931-16885 FT933-11258 FR940628-2-00019 FT922-3304 FBIS3-17250 FT924-7398 FT923-9311 FBIS4-10348 FT923-4778 FT932-12114 FT922-14115 FBIS4-66425 LA071989-0125 LA030289-0080 FBIS3-1903 FR940317-2-00006 FT934-7314 FT942-4844 FBIS4-3045 FBIS4-56513 FT943-16429 FT933-1950 FT924-8781 FBIS3-20916 FBIS4-67492 FR940711-2-00102 FBIS3-53633 FBIS3-40456 FR941028-2-00023 FR940525-2-00053 FT942-151 FR940907-2-00103 LA031089-0049 FBIS4-12170
390,LA111090-0112 FT941-10753 FR940830-2-00058 LA101489-0072 LA060289-0090 LA041289-0054 LA062690-0105 LA080789-0031 LA060189-0211 LA011089-0045 LA020490-0125 LA122290-0138 FBIS4-45835 FBIS4-1453 FBIS3-60561 FBIS4-64505 FBIS4-25012 LA010189-0040 LA062590-0046 FT941-2257 FBIS3-33488 LA070189-0073 FBIS4-24438 FR940110-0-00031 LA072189-0042 FT943-3431 FT922-10077 LA022890-0161 FBIS4-42851 LA052189-0053 FT924-1255 LA092089-0036 FBIS3-22596 LA123089-0093 FT942-10923 LA081090-0043 FBIS3-24331 FBIS4-45369 FBIS3-26005 FBIS3-41163 FT921-15101 FBIS3-36869 FBIS4-2802 FBIS4-21166 FBIS4-41483 FBIS3-21784 FBIS3-33001 FBIS4-26902 FR940805-2-00061 FR940318-2-00109 FBIS4-45575 FBIS3-11628 FBIS3-41320 FBIS4-67129 FBIS3-41389 FR941021-2-00079 FBIS4-67649 FBIS4-66978 FR940318-2-00107 FBIS3-22047 FBIS4-21025 FBIS3-21851 FR940603-0-00011 FBIS4-4127 FBIS4-22214 FBIS4-45491 FBIS4-67149 FR941125-0-00012 FBIS3-41237 FR940513-2-00108 FBIS4-67281 FBIS3-60044 FBIS3-21769 FBIS4-64906 FBIS4-67018 FBIS3-41349 FBIS4-42957 FBIS3-60061 FBIS3-60022 FBIS4-45398 FBIS3-9970 FBIS4-67121 FBIS4-21335 FBIS3-41233 FBIS3-41131 FBIS4-21016 FBIS3-41273 FR940114-2-00066 FBIS3-60116 FBIS4-21147 FBIS4-30503 LA083089-0071 FBIS4-45505 FR940203-1-00069 FBIS3-21771 FBIS3-21895 FBIS4-26800 FBIS3-40603 FBIS3-21631 FBIS4-52946
