Query,RetrievedDocuments
381,FBIS3-2798 FBIS3-1285 FBIS3-1183 FBIS3-1953 FBIS3-1941 FBIS3-1851 FBIS3-1373 FBIS3-1593 FBIS3-1077 FBIS3-2592 FBIS3-2452 FBIS3-2020 FBIS3-1622 FBIS3-2853 FBIS3-1230 FBIS3-2395 FBIS3-2583 FBIS3-2129 FBIS3-2468 FBIS3-1247 FBIS3-2199 FBIS3-1937 FBIS3-1430 FBIS3-2481 FBIS3-1447 FBIS3-2938 FBIS3-2332 FBIS3-2223 FBIS3-2719 FBIS3-2016 FBIS3-2862 FBIS3-1168 FBIS3-2622 FBIS3-2682 FBIS3-2372 FBIS3-1111 FBIS3-2835 FBIS3-2053 FBIS3-1289 FBIS3-2234 FBIS3-2987 FBIS3-1766 FBIS3-2205 FBIS3-2508 FBIS3-2668 FBIS3-2143 FBIS3-2979 FBIS3-2761 FBIS3-1827 FBIS3-1524 FBIS3-2440 FBIS3-2789 FBIS3-2944 FBIS3-1903 FBIS3-2532 FBIS3-1357 FBIS3-2215 FBIS3-1408 FBIS3-2943 FBIS3-2713 FBIS3-1619 FBIS3-2963 FBIS3-1048 FBIS3-2983 FBIS3-2900 FBIS3-1931 FBIS3-2738 FBIS3-2697 FBIS3-2834 FBIS3-1150 FBIS3-2770 FBIS3-2176 FBIS3-1256 FBIS3-1231 FBIS3-2043 FBIS3-2351 FBIS3-2243 FBIS3-2117 FBIS3-2788 FBIS3-2342 FBIS3-2709 FBIS3-2363 FBIS3-1902 FBIS3-2846 FBIS3-1034 FBIS3-1933 FBIS3-1587 FBIS3-1345 FBIS3-1586 FBIS3-2067 FBIS3-2408 FBIS3-2996 FBIS3-2607 FBIS3-1293 FBIS3-2816 FBIS3-2973 FBIS3-2482 FBIS3-2026 FBIS3-2756 FBIS3-2393
382,FBIS3-2798 FBIS3-1183 FBIS3-1851 FBIS3-1941 FBIS3-1593 FBIS3-2395 FBIS3-2853 FBIS3-2592 FBIS3-1285 FBIS3-2583 FBIS3-2053 FBIS3-1373 FBIS3-2468 FBIS3-2129 FBIS3-1766 FBIS3-2944 FBIS3-2862 FBIS3-2452 FBIS3-2199 FBIS3-2938 FBIS3-1077 FBIS3-2205 FBIS3-2987 FBIS3-1622 FBIS3-1230 FBIS3-1937 FBIS3-2020 FBIS3-2481 FBIS3-2508 FBIS3-2215 FBIS3-1357 FBIS3-1430 FBIS3-2332 FBIS3-2682 FBIS3-2016 FBIS3-1247 FBIS3-1168 FBIS3-1903 FBIS3-2143 FBIS3-1953 FBIS3-2719 FBIS3-2393 FBIS3-2983 FBIS3-2372 FBIS3-2223 FBIS3-2943 FBIS3-2979 FBIS3-2043 FBIS3-2622 FBIS3-2713 FBIS3-2788 FBIS3-2963 FBIS3-2738 FBIS3-2835 FBIS3-2834 FBIS3-1111 FBIS3-1524 FBIS3-2816 FBIS3-1150 FBIS3-2668 FBIS3-1447 FBIS3-2619 FBIS3-1849 FBIS3-2234 FBIS3-1453 FBIS3-2026 FBIS3-1587 FBIS3-2973 FBIS3-1048 FBIS3-2900 FBIS3-2117 FBIS3-2697 FBIS3-1231 FBIS3-2532 FBIS3-2846 FBIS3-1345 FBIS3-1289 FBIS3-1902 FBIS3-1933 FBIS3-2789 FBIS3-2408 FBIS3-1827 FBIS3-1619 FBIS3-2342 FBIS3-2996 FBIS3-1034 FBIS3-2501 FBIS3-1925 FBIS3-2363 FBIS3-2440 FBIS3-2014 FBIS3-1564 FBIS3-2351 FBIS3-2243 FBIS3-2067 FBIS3-1293 FBIS3-2406 FBIS3-1256 FBIS3-2709 FBIS3-1931
383,FBIS3-2798 FBIS3-1285 FBIS3-2223 FBIS3-1851 FBIS3-1077 FBIS3-1373 FBIS3-2853 FBIS3-2199 FBIS3-1941 FBIS3-2944 FBIS3-2682 FBIS3-1593 FBIS3-2835 FBIS3-2583 FBIS3-1447 FBIS3-2862 FBIS3-1953 FBIS3-2129 FBIS3-2016 FBIS3-2622 FBIS3-1183 FBIS3-1430 FBIS3-2468 FBIS3-1230 FBIS3-2452 FBIS3-1168 FBIS3-2020 FBIS3-2668 FBIS3-1937 FBIS3-2938 FBIS3-1293 FBIS3-2532 FBIS3-2372 FBIS3-2973 FBIS3-2987 FBIS3-1048 FBIS3-2719 FBIS3-1903 FBIS3-2332 FBIS3-1619 FBIS3-2963 FBIS3-2234 FBIS3-2440 FBIS3-2143 FBIS3-2176 FBIS3-1111 FBIS3-2816 FBIS3-2789 FBIS3-2395 FBIS3-2943 FBIS3-2481 FBIS3-2592 FBIS3-2043 FBIS3-1766 FBIS3-1931 FBIS3-2117 FBIS3-2243 FBIS3-2205 FBIS3-1357 FBIS3-2770 FBIS3-2619 FBIS3-1827 FBIS3-2697 FBIS3-1034 FBIS3-2363 FBIS3-2508 FBIS3-1849 FBIS3-2834 FBIS3-2940 FBIS3-1289 FBIS3-1150 FBIS3-2342 FBIS3-2713 FBIS3-1622 FBIS3-1524 FBIS3-1541 FBIS3-2738 FBIS3-1587 FBIS3-2014 FBIS3-2709 FBIS3-2053 FBIS3-2607 FBIS3-2408 FBIS3-2983 FBIS3-2351 FBIS3-1247 FBIS3-1805 FBIS3-1496 FBIS3-1345 FBIS3-1258 FBIS3-1965 FBIS3-2979 FBIS3-1188 FBIS3-2393 FBIS3-2215 FBIS3-1414 FBIS3-2711 FBIS3-2846 FBIS3-1586 FBIS3-1564
384,FBIS3-1168 FBIS3-2798 FBIS3-2583 FBIS3-1851 FBIS3-2223 FBIS3-1447 FBIS3-1941 FBIS3-1593 FBIS3-2395 FBIS3-2862 FBIS3-1285 FBIS3-2622 FBIS3-1183 FBIS3-2468 FBIS3-2452 FBIS3-2016 FBIS3-2987 FBIS3-1077 FBIS3-2408 FBIS3-1564 FBIS3-1230 FBIS3-2697 FBIS3-1070 FBIS3-2199 FBIS3-1247 FBIS3-2761 FBIS3-2835 FBIS3-1849 FBIS3-2713 FBIS3-2944 FBIS3-2592 FBIS3-1111 FBIS3-1931 FBIS3-2834 FBIS3-1937 FBIS3-2351 FBIS3-1933 FBIS3-2234 FBIS3-2719 FBIS3-2682 FBIS3-1988 FBIS3-2481 FBIS3-1150 FBIS3-1373 FBIS3-2243 FBIS3-1289 FBIS3-1188 FBIS3-1496 FBIS3-2176 FBIS3-1357 FBIS3-2996 FBIS3-1048 FBIS3-2668 FBIS3-2224 FBIS3-2619 FBIS3-1965 FBIS3-2973 FBIS3-1619 FBIS3-2056 FBIS3-2943 FBIS3-1622 FBIS3-2853 FBIS3-2020 FBIS3-1953 FBIS3-2117 FBIS3-2418 FBIS3-1805 FBIS3-2816 FBIS3-1827 FBIS3-1231 FBIS3-2532 FBIS3-2215 FBIS3-2143 FBIS3-1991 FBIS3-2411 FBIS3-2770 FBIS3-1062 FBIS3-2695 FBIS3-2938 FBIS3-2129 FBIS3-2709 FBIS3-1766 FBIS3-2340 FBIS3-1256 FBIS3-2946 FBIS3-1524 FBIS3-1258 FBIS3-1430 FBIS3-2440 FBIS3-1453 FBIS3-2940 FBIS3-1408 FBIS3-2332 FBIS3-2963 FBIS3-1586 FBIS3-2607 FBIS3-2979 FBIS3-2406 FBIS3-1587 FBIS3-2711
385,FBIS3-1593 FBIS3-2798 FBIS3-1941 FBIS3-1373 FBIS3-1183 FBIS3-2395 FBIS3-1851 FBIS3-2853 FBIS3-2583 FBIS3-2592 FBIS3-1285 FBIS3-2053 FBIS3-2129 FBIS3-2452 FBIS3-1357 FBIS3-2938 FBIS3-2215 FBIS3-2199 FBIS3-2508 FBIS3-2205 FBIS3-1230 FBIS3-1953 FBIS3-1077 FBIS3-2468 FBIS3-2738 FBIS3-1903 FBIS3-2983 FBIS3-2117 FBIS3-2944 FBIS3-2481 FBIS3-1430 FBIS3-2987 FBIS3-1622 FBIS3-2143 FBIS3-1111 FBIS3-2332 FBIS3-2862 FBIS3-2682 FBIS3-2016 FBIS3-1766 FBIS3-2393 FBIS3-2020 FBIS3-2372 FBIS3-1587 FBIS3-2788 FBIS3-1937 FBIS3-2719 FBIS3-1247 FBIS3-2234 FBIS3-2619 FBIS3-2668 FBIS3-2834 FBIS3-2900 FBIS3-1168 FBIS3-2846 FBIS3-2979 FBIS3-2996 FBIS3-2789 FBIS3-1048 FBIS3-2835 FBIS3-2787 FBIS3-2963 FBIS3-1959 FBIS3-2713 FBIS3-2223 FBIS3-1447 FBIS3-1925 FBIS3-1034 FBIS3-2490 FBIS3-2943 FBIS3-1902 FBIS3-1293 FBIS3-1453 FBIS3-1619 FBIS3-2342 FBIS3-2622 FBIS3-2067 FBIS3-1231 FBIS3-2940 FBIS3-2406 FBIS3-2043 FBIS3-1150 FBIS3-1849 FBIS3-1586 FBIS3-1408 FBIS3-2973 FBIS3-2816 FBIS3-2026 FBIS3-1524 FBIS3-2014 FBIS3-1256 FBIS3-2243 FBIS3-2440 FBIS3-2532 FBIS3-1119 FBIS3-1070 FBIS3-2697 FBIS3-2946 FBIS3-2709 FBIS3-2893
386,FBIS3-1373 FBIS3-1077 FBIS3-1953 FBIS3-2719 FBIS3-2199 FBIS3-1851 FBIS3-1285 FBIS3-1941 FBIS3-2016 FBIS3-2440 FBIS3-1619 FBIS3-1230 FBIS3-1430 FBIS3-2835 FBIS3-2853 FBIS3-2117 FBIS3-2020 FBIS3-1593 FBIS3-2468 FBIS3-1937 FBIS3-1357 FBIS3-2622 FBIS3-2532 FBIS3-2481 FBIS3-2770 FBIS3-2452 FBIS3-2900 FBIS3-2223 FBIS3-1034 FBIS3-1111 FBIS3-2798 FBIS3-1903 FBIS3-2092 FBIS3-2234 FBIS3-2940 FBIS3-2129 FBIS3-1168 FBIS3-2372 FBIS3-2143 FBIS3-1293 FBIS3-2395 FBIS3-1183 FBIS3-2215 FBIS3-2682 FBIS3-2583 FBIS3-1827 FBIS3-2891 FBIS3-1247 FBIS3-2176 FBIS3-1447 FBIS3-2987 FBIS3-2711 FBIS3-1188 FBIS3-2788 FBIS3-2713 FBIS3-2332 FBIS3-2668 FBIS3-2205 FBIS3-2938 FBIS3-1541 FBIS3-2911 FBIS3-2043 FBIS3-1436 FBIS3-1048 FBIS3-2738 FBIS3-1622 FBIS3-1256 FBIS3-2393 FBIS3-2944 FBIS3-2846 FBIS3-2508 FBIS3-1258 FBIS3-2996 FBIS3-2943 FBIS3-1586 FBIS3-1766 FBIS3-1931 FBIS3-2834 FBIS3-2243 FBIS3-2862 FBIS3-2356 FBIS3-1231 FBIS3-2619 FBIS3-1587 FBIS3-2592 FBIS3-1524 FBIS3-2983 FBIS3-2607 FBIS3-2340 FBIS3-2363 FBIS3-1414 FBIS3-1289 FBIS3-1496 FBIS3-2946 FBIS3-2789 FBIS3-2697 FBIS3-2669 FBIS3-1150 FBIS3-1408 FBIS3-2307
387,FBIS3-2798 FBIS3-2332 FBIS3-1851 FBIS3-2129 FBIS3-1285 FBIS3-1593 FBIS3-2682 FBIS3-2583 FBIS3-1903 FBIS3-1941 FBIS3-2223 FBIS3-2944 FBIS3-2468 FBIS3-2481 FBIS3-2395 FBIS3-1953 FBIS3-1111 FBIS3-2020 FBIS3-2983 FBIS3-1183 FBIS3-2452 FBIS3-2372 FBIS3-1849 FBIS3-2014 FBIS3-1373 FBIS3-1937 FBIS3-2943 FBIS3-2668 FBIS3-2973 FBIS3-1357 FBIS3-2143 FBIS3-2199 FBIS3-2853 FBIS3-1447 FBIS3-2619 FBIS3-2862 FBIS3-1077 FBIS3-2592 FBIS3-2835 FBIS3-2508 FBIS3-2234 FBIS3-1619 FBIS3-1524 FBIS3-2053 FBIS3-1293 FBIS3-2719 FBIS3-2789 FBIS3-2987 FBIS3-2834 FBIS3-2738 FBIS3-1587 FBIS3-1230 FBIS3-2938 FBIS3-1168 FBIS3-2393 FBIS3-1925 FBIS3-2016 FBIS3-1150 FBIS3-1430 FBIS3-2342 FBIS3-2117 FBIS3-2532 FBIS3-1622 FBIS3-2043 FBIS3-2963 FBIS3-2205 FBIS3-1766 FBIS3-2501 FBIS3-1333 FBIS3-1070 FBIS3-2622 FBIS3-2713 FBIS3-1453 FBIS3-2351 FBIS3-2711 FBIS3-2946 FBIS3-2215 FBIS3-2788 FBIS3-2482 FBIS3-2068 FBIS3-2003 FBIS3-1048 FBIS3-2816 FBIS3-2709 FBIS3-2176 FBIS3-1289 FBIS3-1540 FBIS3-1764 FBIS3-2900 FBIS3-1933 FBIS3-2761 FBIS3-2026 FBIS3-2363 FBIS3-2440 FBIS3-1256 FBIS3-2746 FBIS3-1509 FBIS3-2979 FBIS3-1965 FBIS3-1258
388,FBIS3-1183 FBIS3-1851 FBIS3-2862 FBIS3-2853 FBIS3-2798 FBIS3-1941 FBIS3-1593 FBIS3-2622 FBIS3-2223 FBIS3-1447 FBIS3-2583 FBIS3-1430 FBIS3-2944 FBIS3-1285 FBIS3-2053 FBIS3-2938 FBIS3-1168 FBIS3-2468 FBIS3-2452 FBIS3-2592 FBIS3-2395 FBIS3-1805 FBIS3-1564 FBIS3-2129 FBIS3-2016 FBIS3-2199 FBIS3-2682 FBIS3-2816 FBIS3-1034 FBIS3-1937 FBIS3-1931 FBIS3-1111 FBIS3-1230 FBIS3-1247 FBIS3-1357 FBIS3-1077 FBIS3-2043 FBIS3-2205 FBIS3-2117 FBIS3-2789 FBIS3-1541 FBIS3-2697 FBIS3-1373 FBIS3-2607 FBIS3-2987 FBIS3-2215 FBIS3-1766 FBIS3-1619 FBIS3-1345 FBIS3-2020 FBIS3-2979 FBIS3-1827 FBIS3-1150 FBIS3-1622 FBIS3-2709 FBIS3-2834 FBIS3-1586 FBIS3-2532 FBIS3-2619 FBIS3-2440 FBIS3-1496 FBIS3-1188 FBIS3-2946 FBIS3-2372 FBIS3-1293 FBIS3-2234 FBIS3-1062 FBIS3-1289 FBIS3-1849 FBIS3-1048 FBIS3-2393 FBIS3-2713 FBIS3-2788 FBIS3-2719 FBIS3-2973 FBIS3-2481 FBIS3-2143 FBIS3-1813 FBIS3-1524 FBIS3-2406 FBIS3-2835 FBIS3-2508 FBIS3-1953 FBIS3-2770 FBIS3-1070 FBIS3-2963 FBIS3-2224 FBIS3-2408 FBIS3-1258 FBIS3-2411 FBIS3-1540 FBIS3-1988 FBIS3-2668 FBIS3-1998 FBIS3-2761 FBIS3-2342 FBIS3-2332 FBIS3-1903 FBIS3-1985 FBIS3-1933
389,FBIS3-2798 FBIS3-1851 FBIS3-1285 FBIS3-2862 FBIS3-2223 FBIS3-2468 FBIS3-2944 FBIS3-2853 FBIS3-1183 FBIS3-2592 FBIS3-2682 FBIS3-2583 FBIS3-1593 FBIS3-2199 FBIS3-2452 FBIS3-1447 FBIS3-1766 FBIS3-1150 FBIS3-1430 FBIS3-2129 FBIS3-1168 FBIS3-2622 FBIS3-1941 FBIS3-2016 FBIS3-2395 FBIS3-2816 FBIS3-2963 FBIS3-2835 FBIS3-1077 FBIS3-2043 FBIS3-2697 FBIS3-2987 FBIS3-1111 FBIS3-1289 FBIS3-2938 FBIS3-2363 FBIS3-2973 FBIS3-1524 FBIS3-1373 FBIS3-1931 FBIS3-2351 FBIS3-1622 FBIS3-2481 FBIS3-2020 FBIS3-2943 FBIS3-1230 FBIS3-1619 FBIS3-1937 FBIS3-2713 FBIS3-2053 FBIS3-2143 FBIS3-2205 FBIS3-2668 FBIS3-1564 FBIS3-2532 FBIS3-2709 FBIS3-1333 FBIS3-2619 FBIS3-2176 FBIS3-1827 FBIS3-2332 FBIS3-2014 FBIS3-1496 FBIS3-1357 FBIS3-1813 FBIS3-2834 FBIS3-2056 FBIS3-1805 FBIS3-2979 FBIS3-2789 FBIS3-2761 FBIS3-2372 FBIS3-1048 FBIS3-2719 FBIS3-1933 FBIS3-1849 FBIS3-1345 FBIS3-2342 FBIS3-1903 FBIS3-1541 FBIS3-1247 FBIS3-1953 FBIS3-1965 FBIS3-2234 FBIS3-1293 FBIS3-2607 FBIS3-2770 FBIS3-1258 FBIS3-2026 FBIS3-2408 FBIS3-2501 FBIS3-1998 FBIS3-1540 FBIS3-2003 FBIS3-2946 FBIS3-2411 FBIS3-2243 FBIS3-1509 FBIS3-2508 FBIS3-2756
390,FBIS3-2798 FBIS3-1285 FBIS3-1941 FBIS3-1851 FBIS3-1593 FBIS3-1183 FBIS3-2853 FBIS3-1077 FBIS3-2129 FBIS3-1373 FBIS3-2583 FBIS3-1953 FBIS3-2223 FBIS3-1430 FBIS3-2199 FBIS3-2020 FBIS3-2592 FBIS3-2682 FBIS3-2862 FBIS3-2944 FBIS3-2938 FBIS3-1447 FBIS3-2452 FBIS3-1230 FBIS3-1111 FBIS3-2016 FBIS3-2468 FBIS3-2622 FBIS3-2053 FBIS3-2395 FBIS3-1937 FBIS3-1357 FBIS3-1766 FBIS3-2987 FBIS3-2481 FBIS3-2668 FBIS3-1622 FBIS3-2835 FBIS3-2372 FBIS3-2532 FBIS3-2789 FBIS3-2943 FBIS3-1619 FBIS3-2719 FBIS3-2332 FBIS3-2979 FBIS3-1903 FBIS3-1247 FBIS3-1048 FBIS3-2205 FBIS3-2234 FBIS3-1168 FBIS3-2761 FBIS3-2963 FBIS3-2143 FBIS3-2816 FBIS3-2834 FBIS3-1289 FBIS3-2440 FBIS3-2713 FBIS3-2508 FBIS3-2697 FBIS3-2619 FBIS3-2215 FBIS3-1034 FBIS3-1827 FBIS3-2043 FBIS3-1150 FBIS3-2973 FBIS3-2900 FBIS3-1293 FBIS3-1931 FBIS3-2788 FBIS3-2351 FBIS3-1587 FBIS3-2363 FBIS3-2738 FBIS3-2770 FBIS3-2067 FBIS3-2709 FBIS3-2243 FBIS3-1524 FBIS3-1541 FBIS3-2983 FBIS3-1231 FBIS3-1256 FBIS3-2607 FBIS3-2176 FBIS3-2342 FBIS3-2117 FBIS3-1902 FBIS3-1070 FBIS3-1345 FBIS3-2393 FBIS3-1509 FBIS3-2711 FBIS3-1849 FBIS3-1933 FBIS3-2846 FBIS3-1408
